#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B273E5
#Date Time: 2025-01-23 15:04:51.105
#Start: 500 Hz
#Stop: 10000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.48223 V
#Offset: 0.000214102 V
#Relative: no
#Channel: Channel 2
#Range: 5.47775 V
#Offset: -3.26643e-05 V
#Relative: yes
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
500.0000000000002,0.02577957803502456,-0.04731429435919247,-13.5460102292696
510.0861570857061,0.02596536544678416,-0.04858938458440586,-13.8262088703117
520.3757753009272,0.02569135039725027,-0.04988443015577837,-14.11099349176212
530.8729589274895,0.02576677014211774,-0.0512823373220363,-14.39602990433519
541.5818950400819,0.02578789261212058,-0.05194852621499317,-14.6885963203679
552.5068551763791,0.02598922317735066,-0.0533289143363928,-14.98619679821985
563.6521970408558,0.02571978690571768,-0.05474524278324336,-15.28814807794046
575.0223662429702,0.02591969083589083,-0.0557873853466373,-15.59702419555305
586.6218980704124,0.02556519872885148,-0.05668285306619697,-15.91132667419984
598.4554192981187,0.02553367233524049,-0.05845731466170588,-16.23174078693384
610.5276500337841,0.02577901677433631,-0.05950003761119538,-16.56225303498729
622.8434056005998,0.02579583775009619,-0.06112765848371017,-16.89713563672938
635.4075984579669,0.02568331265950176,-0.06234897787525996,-17.23664287699052
648.2252401609634,0.02562627792121631,-0.06357856051729389,-17.5863594536672
661.3014433593295,0.02565961986007316,-0.06527119050907265,-17.94240406636439
674.6414238367818,0.02582996176992427,-0.06660519886871208,-18.30592318747624
688.2505025914661,0.02581024477916324,-0.06835298993769472,-18.67673474570596
702.1341079583732,0.0255352622980059,-0.06934531589895868,-19.05373993492162
716.2977777745735,0.02571735523012714,-0.07104129033053605,-19.43857203727323
730.7471615881265,0.02563777901612347,-0.07253621500897461,-19.83245246387165
745.4880229115497,0.02560406047193713,-0.07429248132481919,-20.23570947404338
760.5262415207461,0.02551572633612664,-0.07574803630750239,-20.64513798484673
775.8678158003057,0.02587982451953691,-0.07774141567371048,-21.06346090830004
791.5188651361167,0.02549812916243387,-0.07926420651022856,-21.49139213072117
807.4856323562418,0.02576861549094737,-0.08079229283477291,-21.92656515936508
823.7744862210332,0.02581291344102923,-0.08264179052762723,-22.37348122719075
