#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B273E5
#Date Time: 2025-01-23 15:41:04.449
#Start: 500 Hz
#Stop: 10000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.48223 V
#Offset: 0.000214102 V
#Relative: no
#Channel: Channel 2
#Range: 5.47775 V
#Offset: -3.26643e-05 V
#Relative: yes
#Power Supplies: OFF
#Positive Supply: Rdy
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -5 V

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
500.0000000000002,-3.683612670680263,-0.9699648442310125,-14.65166035085201
510.0861570857061,-3.68360930021894,-0.9726317748109068,-14.96187096220324
520.3757753009272,-3.683016130465166,-0.9758230625725374,-15.26607710504159
530.8729589274895,-3.6832130746487,-0.9773697111563586,-15.57528649329306
541.5818950400819,-3.683286602228692,-0.9790974480933401,-15.88982420548962
552.5068551763791,-3.683300061613566,-0.9808038618174966,-16.21269723028245
563.6521970408558,-3.683205273158141,-0.9820793850629906,-16.53792800838546
575.0223662429702,-3.683016973892139,-0.9842982252232234,-16.86953968180819
586.6218980704124,-3.683372009636766,-0.9875450831981524,-17.21046382985578
598.4554192981187,-3.682938060034807,-0.9887833580425774,-17.55724060349044
610.5276500337841,-3.68397753579881,-0.9897620426283056,-17.90990149431403
622.8434056005998,-3.683649267818254,-0.9926210953359181,-18.26974406918441
635.4075984579669,-3.684054780141173,-0.9944059052242846,-18.63689640368142
648.2252401609634,-3.683397331469788,-0.997325269629966,-19.01301040345294
661.3014433593295,-3.68307600139306,-0.9998385563397759,-19.39573602209017
674.6414238367818,-3.683135876490836,-1.002250227918187,-19.78720925095118
688.2505025914661,-3.683274089604009,-1.004698091094513,-20.18472820674923
702.1341079583732,-3.683325876353734,-1.00749785534982,-20.5922995293907
716.2977777745735,-3.683264244501909,-1.010567121111321,-21.00498065548122
730.7471615881265,-3.682954278823712,-1.013591227546447,-21.43181340692135
745.4880229115497,-3.683184460308195,-1.016891827435796,-21.86076893117873
760.5262415207461,-3.683193441862234,-1.020175476001322,-22.30150195943912
775.8678158003057,-3.683262567538562,-1.024510258430815,-22.75350892478221
791.5188651361167,-3.683682638697055,-1.027184469336116,-23.2095913051937
807.4856323562418,-3.684108559113311,-1.029878403646793,-23.67619732731769
823.7744862210332,-3.683189986034891,-1.034083272657321,-24.15361099608485
840.3919239634773,-3.684377775332082,-1.038085552257007,-24.6418729075819
857.3445738807854,-3.684029383764182,-1.041493592559388,-25.140012570965
874.6391979782643,-3.683460249606963,-1.045251257830932,-25.64708319330342
892.2826946665137,-3.683065241199927,-1.050737133933161,-26.16296134160692
910.2821015130401,-3.6831676052491,-1.05385536831585,-26.69383804991452
928.6445980493747,-3.682374356569552,-1.059336042642818,-27.23337477731927
947.3775086348113,-3.683147117054765,-1.063693299107126,-27.7828054739073
966.4883053779216,-3.68263205991031,-1.070009691864362,-28.34199771554876
985.984611117001,-3.681921275259141,-1.075793529955415,-28.91628665751193
1005.87420246063,-3.682285665900944,-1.081028652476897,-29.50370219025856
